head,name,actual2006,approved2006,revised2006,estimate2006,actual2007,approved2007,revised2007,estimate2007,actual2008,approved2008,revised2008,estimate2008,actual2009,approved2009,revised2009,estimate2009,actual2010,approved2010,revised2010,estimate2010,actual2011,approved2011,revised2011,estimate2011,actual2012,approved2012,revised2012,estimate2012,actual2013,approved2013,revised2013,estimate2013,actual2014,approved2014,revised2014,estimate2014
60,Player26,1934210,1937190,1931873,1950753,1932106,1950753,1914593,2007163,1890819,2007163,1999382,2109209,1997255,2109209,2131674,2228180,2141206,2228180,2187597,2194355,2190677,2194355,2167380,2230549,2184963,2230549,2267125,2360274,2263032,2360274,2338005,2475061,,,,
62,Player27,332952,302952,254178,88827,302952,88827,92527,116736,92527,116736,118812,125553,116736,125553,2645853,130531,2638648,130531,1927801,128712,1926950,128712,1938404,146083,1935211,146083,2060585,173196,2050378,173196,2077062,210178,,,,
63,Player28,1197533,1227436,1211597,1260789,1178365,1260789,1216950,1355286,1203360,1355286,1314209,1547250,1268951,1547250,1537494,1625816,1511036,1625816,1615686,1639685,1573126,1639685,1809991,1769413,1743853,1769413,1764114,1893058,1723426,1893058,1884186,2022532,,,,
70,Player29,2230657,2232697,2205976,2341932,2215452,2341932,2254008,2601182,2251506,2601182,2624579,2709371,2627279,2709371,2824842,2876801,2821346,2876801,2849414,3039401,2849659,3039401,2937940,3071992,2936636,3071992,3126764,3312198,3124877,3312198,3374579,3546855,,,,
72,Player30,677648,663024,640378,668462,640440,668462,656171,701247,661782,701247,700107,756887,696940,756887,752867,808148,750071,808148,787538,814174,766922,814174,784328,824119,769968,824119,829488,875545,821245,875545,875389,927340,,,,
74,Player31,311592,346736,322124,346736,319121,346736,323667,347918,316993,347918,341430,370047,339807,370047,359650,379335,353053,379335,360643,373769,354983,373769,358101,375902,355231,375902,373115,395702,362080,395702,403666,405986,,,,
76,Player32,1079248,1186786,1095000,1187034,1053844,1187034,1054042,1179031,1053536,1179031,1205673,1251688,1140579,1251688,1218595,1276595,1182802,1276595,1170882,1273893,1151572,1273893,1184065,1290339,1147820,1290339,1258423,1375873,1188457,1375873,1324736,1431999,,,,
78,Player33,84250,83359,80292,86491,75390,86491,80019,86951,79584,86951,83974,92748,82823,92748,91836,98261,91199,98261,95652,96086,95189,96086,95016,97817,94683,97817,100650,115177,100556,115177,113970,121505,,,,
79,Player34,207426,106183,106183,106063,105863,106063,106063,107151,105989,107151,108072,109307,107685,109307,110516,111562,108023,111562,111339,105776,111339,105776,106038,110647,108771,110647,112064,113679,112055,113679,113679,116913,,,,
80,Player35,881007,944370,892920,952710,861126,952710,900607,995591,878524,995591,930170,1044758,910459,1044758,972773,1118507,969547,1118507,1008883,1115639,1000227,1115639,1037867,1137930,1022926,1137930,1073752,1209562,1057691,1209562,1136597,1272125,,,,
82,Player36,735747,768256,757824,778914,751263,778914,755199,775737,762494,775737,784050,825042,783243,825042,835750,890638,838141,890638,881194,867834,883577,867834,854163,993996,837452,993996,879487,1085700,872062,1085700,1030438,1124935,,,,
90,Player37,980041,1061135,939189,975608,938583,975608,917883,972442,911651,972442,1059511,1016769,1046994,1016769,1078063,1134197,1070059,1134197,1160745,1166267,1168835,1166267,1081290,1298408,1074500,1298408,1350000,2930303,1270314,2930303,1447025,2040432,,,,
91,Player38,1417354,1409424,1391035,1606062,1363211,1606062,1517694,1635797,1482722,1635797,1606171,1698662,1572718,1698662,1700900,1793888,1691823,1793888,1727046,1793355,1710935,1793355,1737048,1810067,1730347,1810067,1876226,1943909,1849683,1943909,2009643,2071602,,,,
92,Player39,838103,888151,856590,879599,802673,879599,839926,906630,823085,906630,870765,949200,855181,949200,941136,1004363,937044,1004363,974138,1009882,985570,1009882,986263,1043191,966088,1043191,1121876,1250519,1119862,1250519,1277346,1401718,,,,
94,Player40,627253,751491,682512,748491,608027,748491,654269,722540,628845,722540,673632,758863,646780,758863,688407,752482,661163,752482,721192,752971,715522,752971,746052,784260,733529,784260,721156,794523,704706,794523,870217,842163,,,,
95,Player41,4867642,4983438,4960517,5027086,4886157,5027086,4883355,4914196,4915052,4914196,4950854,5054876,4961859,5054876,5124789,5426130,5097452,5426130,5408293,5454665,5336675,5454665,5409258,5630026,5392556,5630026,5817019,6146782,5825415,6146782,6238209,6538016,,,,
96,Player42,239932,290711,261587,296825,247332,296825,233023,302090,227211,302090,269740,310907,274394,310907,277119,314701,278198,314701,284620,303747,282587,303747,296371,299302,299114,299302,300261,303546,302112,303546,306397,324678,,,,
100,Player43,882880,909494,859212,897414,849230,897414,862493,896832,852080,896832,882502,918973,879430,918973,929277,960879,915454,960879,939636,964272,920371,964272,940226,988869,926220,988869,985504,1013991,974509,1013991,1018948,1045050,,,,
106,Player44,156596,9062409,158515,8520079,103628,8520079,138868,9625442,116156,9625442,124655,40887954,81541,40887954,12819256,9594408,46580,9594408,113601,17600787,65527,17600787,191787,54145750,174940,61245750,397550,34542507,115525,34542507,990607,57272497,,,,
112,Player45,351382,338862,334559,346637,334147,346637,342559,351893,342067,351893,358983,385927,358389,385927,397866,407454,399269,407454,404134,414367,416752,414367,441225,566961,449402,566961,570698,585785,568927,585785,650366,664384,,,,
114,Player46,86978,81422,81422,81252,81422,81252,81252,81612,81252,81612,81612,85144,81612,85144,89078,90272,89037,90272,89990,88487,89990,88487,89116,89391,89116,89391,94164,94655,94164,94655,99085,99540,,,,
116,Player47,116768,130344,112795,130975,107502,130975,109466,132287,107352,132287,115099,134284,110070,134284,121003,140854,114669,140854,121983,138577,115440,138577,122920,136331,119332,136331,129688,148181,126082,148181,141090,155159,,,,
118,Player48,419419,415267,401947,426239,389038,426239,414848,436336,399948,436336,443854,468647,435600,468647,473457,485532,459879,485532,476008,475571,464573,475571,470596,479470,464177,479470,491493,528503,490754,528503,540448,574397,,,,
120,Player49,15700749,14607924,13149268,14172855,12917656,14172855,13722490,15040411,13654294,15040411,14917782,16525011,14736368,16525011,15916289,17582620,15699877,17582620,16920016,18587447,16910922,18587447,18000000,19772434,18026853,19772434,20055910,23093310,19737349,23093310,22052660,25509500,,,,
121,Player50,12998,13254,13254,12700,13056,12700,15622,13557,15188,13557,15397,16526,15206,16526,17789,28283,17361,28283,27283,27177,26441,27177,28484,35230,28484,35230,36107,37919,36089,37919,46685,49833,,,,
122,Player51,11126678,11052991,10915735,11152791,10864378,11152791,10871117,11353238,10871968,11353238,11454210,11913550,11515456,11913550,12228709,12573067,12239394,12573067,12620867,13042384,12714049,13042384,12845280,13157929,12855128,13157929,13632411,14059209,13750863,14059209,14413766,14776454,,,,
136,Player52,17654,17374,16735,15511,16436,15511,15038,15216,14873,15216,15634,17886,15597,17886,18153,17090,18138,17090,17016,16474,16921,16474,16523,18203,16434,18203,18949,18114,18932,18114,18319,20059,,,,
137,Player53,,,,,,,,,,,28700,63731,28452,63731,56588,70246,52432,70246,63213,70641,62766,70641,67173,80035,67154,80035,72579,67171,65292,67171,63003,72755,,,,
138,Player54,85076,90476,88296,92397,84773,92397,83330,85417,81854,85417,86720,96604,84086,96604,297859,308957,296475,308957,665764,1179116,657233,1179116,965497,831364,962085,831364,690942,800664,689601,800664,630465,763645,,,,
139,Player55,,,,,,,,89934,,89934,44607,65423,37599,65423,46486,97459,43568,97459,70405,70810,69428,70810,52010,77031,55978,77031,58200,78531,58852,78531,59803,80496,,,,
140,Player56,,,,,,,,29124646,,29124646,29990955,30762021,30020597,30762021,32980020,33387074,32990350,33387074,33063338,34584171,33090536,34584171,34664723,37322905,34652352,37322905,39042518,41705880,38969146,41705880,53218009,45568939,,,,
